article_id,annotator,node,ranges,tokens,label
5cf478d6896a7fea0600d8ba,D,0.0,"[[1665, 1689]]",Todos eles tinham riscos,Fact
5cf46919896a7fea06ffff72,D,1.0,"[[0, 205]]","Economistas qualificados para pensar os impostos e outros instrumentos de receita pública nos seus efeitos sobre os comportamentos das pessoas e das empresas são um recurso muito, muito escasso em Portugal",Fact
5cf45c4e896a7fea06ff3f82,B,15.0,"[[2885, 2910]]",ausência de despedimentos,Fact
5cf469ff896a7fea0600062e,D,14.0,"[[2787, 2958]]",responsabilizar diretamente as plataformas por tudo o que qualquer pessoa possa lá publicar fará com que aquelas se adaptem de forma a proteger os seus próprios interesses,Fact
5cf469e5896a7fea06000599,D,20.0,"[[4094, 4143]]",não ter conhecimentos suficientes na área clínica,Fact
5cf46a1a896a7fea0600162f,A,1.0,"[[4850, 4920]]","o documento ""ainda vai ser discutido com os parceiros sociais em 2019""",Fact
5cf47a54896a7fea0600df99,C,31.0,"[[5893, 5900]]",segways,Fact
5cf460f8896a7fea06ff8540,D,2.0,"[[2216, 2285]]",todas as sondagens apontam para uma perda de outros 300 mil eleitores,Fact
5cf4705c896a7fea06006583,A,12.0,"[[1686, 1820]]","O festival Eurovisão, na sua componente conceptual, criativa, musical, televisiva, comunicacional e de produção executiva, coube à RTP",Fact
5cf46474896a7fea06ffb98d,D,18.0,"[[2083, 2129]]",ele está hoje sob um grande conflito histórico,Fact
5cf46d03896a7fea06003edc,B,6.0,"[[5329, 5598]]","o Esperanto foi proibido e perseguido por regimes ditatoriais de sinais contrários, por exemplo, na URSS de Estaline, na Alemanha de Hitler, na Itália de Mussolini, na Roménia de Ceausescu, na Alemanha de Enver Hodja, na Espanha de Franco e, até, no Portugal de Salazar",Fact
5cebdf54896a7fea06aefb25,D,8.0,"[[1873, 2015]]","tendo na América do Norte e América do Sul crescido 700% e na Europa 300%, continentes em que havia uma elevada taxa de cobertura de vacinação",Fact
5cec9624896a7fea06b616df,A,24.0,"[[2537, 2627]]",Percorrer o vale central da Califórnia é ver milhares de hectares que parecem todos iguais,Fact
5cf45c0c896a7fea06ff3d04,A,38.0,"[[4019, 4076]]",a criação de novas áreas infraestruturadas para o regadio,Fact
5cf463f6896a7fea06ffb5b9,A,31.0,"[[834, 864]]",o orçamento não foi suficiente,Fact
5cf46fb5896a7fea06006266,D,38.0,"[[7602, 7624]]",esta certeza não basta,Fact
5cf46103896a7fea06ff85a8,D,7.0,"[[4788, 4892]]","Hoje em dia, com o aumento generalizado do nível de vida das populações, é um traço comum às democracias",Fact
5cf45ff3896a7fea06ff6d3c,D,13.0,"[[1554, 1580]]",sim de Ideologia de Género,Fact
5cf4665e896a7fea06ffd932,C,31.0,"[[1715, 1829]]","pertencerem ao grupo de “palavras de derivação ou afinidade evidente” (Gonçalves Viana, Ortografia Nacional, 1904)",Fact
5cf47072896a7fea060065dd,A,4.0,"[[257, 264]]",emprego,Fact
5cf45bc3896a7fea06ff2b2d,B,2.0,"[[460, 520]]",mudaram as estruturas das relações de trabalho e de produção,Fact
5cf47676896a7fea0600bcba,D,19.0,"[[2247, 2305]]",o normal é colher uvas maduras e não uvas verdes e amargas,Fact
5cf4617a896a7fea06ff8a35,B,1.0,"[[383, 540]]","Em Portugal, estudos sociológicos realizados em meados do século XX permitiram concluir que a universidade era então um espaço quase exclusivamente masculino",Fact
5cf46618896a7fea06ffd748,D,4.0,"[[1042, 1152]]",Os naturais de nações fora da União Europeia (UE) que nela residem representam pouco mais de 4% dos habitantes,Fact
5cf46b82896a7fea060022c1,C,19.0,"[[403, 634]]","Autoafastado, durante o regime autoritário do designado “Estado Novo”, da ordem internacional dos direitos humanos criada depois da II Guerra Mundial, e consubstanciada na DUDH de 1948 -, bem como, no plano europeu, na CEDH de 1950",Fact
5cf47676896a7fea0600bcba,C,6.0,"[[674, 730]]",o dióxido de carbono facilita a fotossíntese das plantas,Fact
5cf4617a896a7fea06ff8a35,B,18.0,"[[2889, 3061]]","sendo maioritariamente homens tanto os professores catedráticos e associados (69,6% no universitário público e 66,5% no universitário privado em 2017/18, segundo o REBIDES)",Fact
5cf461c8896a7fea06ff8c4d,D,38.0,"[[5801, 5829]]",mais exigências burocráticas,Fact
5cf46196896a7fea06ff8b01,D,5.0,"[[2181, 2228]]",liga-se à futura linha Circular no Campo Grande,Fact
5cf46fb5896a7fea06006266,D,14.0,"[[3733, 3872]]","aqueles auspiciosos números não se traduzem em medidas efectivas que combatam as carências do sector, permitindo o seu desenvolvimento real",Fact
5cf474d6896a7fea0600a44f,D,6.0,"[[3494, 3553]]",o comportamento desses produtos resultava de um acto humano,Fact
5cf45e3c896a7fea06ff4efb,C,13.0,"[[5010, 5048]]",esta é o segundo maior parceiro chinês,Fact
5cf46174896a7fea06ff8a09,B,16.0,"[[1132, 1161]]",pulula em inúmeros talk-shows,Fact
5cf46546896a7fea06ffc017,D,5.0,"[[532, 579]]",conflito mortal para quem fica e para quem foge,Fact
5cf461c8896a7fea06ff8c4d,B,39.0,"[[4240, 4274]]",não há limite de idade para aderir,Fact
5cf45adb896a7fea06ff24e3,D,7.0,"[[790, 829]]",hoje o sistema capitalista é hegemónico,Fact
5cf479f8896a7fea0600de0b,C,5.0,"[[362, 415]]",Um país que agora é visitado por milhares de turistas,Fact
5cf46047896a7fea06ff6fe8,D,1.0,"[[471, 584]]","aquilo a que temos vindo a assistir nos últimos anos é que, por vezes, há uma confusão na utilização de conceitos",Fact
5cf4626b896a7fea06ff914d,C,13.0,"[[1145, 1197]]",Ficam de fora os certificados do aforro e do tesouro,Fact
5cf472a4896a7fea060088c2,B,3.0,"[[360, 730]]","O mais próximo que se esteve disso foi quando Frances McDormand, no final do seu discurso de agradecimento, pediu a todas as mulheres nomeadas (salvo erro, apenas a essas) que se levantassem, instando-as a usar o seu poder negocial para garantir que futuros filmes em que trabalhem privilegiem a inclusão e a diversidade, de género e de etnia, à frente e atrás da câmara",Fact
5cf45c51896a7fea06ff3f9b,D,16.0,"[[1641, 1689]]",os números apresentados não dizem a verdade toda,Fact
5cec25a4896a7fea06b1bb32,A,3.0,"[[1770, 1797]]","anteriormente tinham 53,54%",Fact
5cf45bb2896a7fea06ff2abd,B,21.0,"[[3153, 3248]]","Num universo de 49 centros hospitalares e hospitais do SNS, quatro são geridos em regime de PPP",Fact
5cf462d0896a7fea06ff9424,C,28.0,"[[1358, 1428]]",mantendo-se a rejeição das listas que não cumpram os requisitos legais,Fact
5cf47b6b896a7fea0600f57c,D,8.0,"[[481, 536]]",atendendo à clivagem que o tema abriu no debate público,Fact
5cf463d6896a7fea06ffb4a8,D,24.0,"[[2538, 2571]]",já lá existe um aeroporto militar,Fact
5d04c1a3896a7fea06a0a289,B,11.0,"[[1727, 1767]]",roubou a liderança da I Liga aos “leões”,Fact
5cf45adb896a7fea06ff24e3,B,60.0,"[[3681, 3898]]","Karl Polanyi mostrou no seu livro A Grande Transformação que os mercados auto-regulados não funcionam bem, criam distorções e chamou a atenção para os períodos em que os mercados têm o controlo total sobre a sociedade",Fact
5cf46416896a7fea06ffb67e,D,2.0,"[[592, 607]]",bandeirolas bip,Fact
5cefd3d4896a7fea06d57241,B,6.0,"[[366, 417]]",mesmo quando têm uma receita ou um relatório médico,Fact
5cdf7535896a7fea064043e8,B,0.0,"[[273, 331]]",o investimento em habitação pública desaconselhado pela UE,Fact
5cf466a0896a7fea06ffdb5e,D,52.0,"[[5918, 5970]]",os níveis de reservas são ainda relativamente baixos,Fact
5cf462de896a7fea06ff9495,B,6.0,"[[1035, 1066]]",cerca de três milhões emigraram,Fact
5cf46587896a7fea06ffd19d,D,27.0,"[[3422, 3526]]","mesmo entre os apoiantes de sempre do presidente, que o conhecem há muitos anos, há surpresa e desilusão",Fact
5cf46268896a7fea06ff9135,A,4.0,"[[4697, 4757]]",O estatuto prevê o processo de destituição do chefe político,Fact
5d04be1c896a7fea06a07c4b,D,14.0,"[[2469, 2555]]","Durante o Mundial da FIFA de 2014, fizemos uma pesquisa com os turistas internacionais",Fact
5d04c47f896a7fea06a0f857,C,17.0,"[[5463, 5523]]",a responsabilidade ambiental não é pertença do direito penal,Fact
5cf45f88896a7fea06ff6a13,A,0.0,"[[2383, 2417]]",Código das Associações Mutualistas,Fact
5cf478d6896a7fea0600d8ba,A,16.0,"[[6781, 6871]]",é possível pagar o dinheiro que Curry e Durant valem nas renovações dos contratos de ambos,Fact
5cf46673896a7fea06ffd9e4,B,5.0,"[[813, 881]]","os setores tradicionais estariam a pagar em média 23%, mais do dobro",Fact
5cf45e6f896a7fea06ff6056,A,7.0,"[[885, 962]]",há países que se opõe a avanços em matéria de tributação das grandes empresas,Fact
5cebdf54896a7fea06aefb25,A,6.0,"[[5319, 5442]]","O Facebook, por exemplo, implementou há já algum um tempo diversas medidas que visam denunciar fake news e conteúdos falsos",Fact
5cf45d02896a7fea06ff459a,B,7.0,"[[884, 910]]",no banco não pagam imposto,Fact
5cf45c51896a7fea06ff3f9b,B,19.0,"[[1846, 1955]]","Pelos últimos números (2018, provisório), Portugal terá 33,1% dos jovens de 30 a 34 anos com uma licenciatura",Fact
5d04b991896a7fea06a049f5,D,6.0,"[[294, 363]]",Foram as remessas que permitiram superar crises económicas anteriores,Fact
5cf47650896a7fea0600bbc7,D,12.0,"[[1487, 1626]]","Dado o peso económico do mercado inglês no mundo do futebol, sobretudo em termos de folha salarial e de negociação dos direitos televisivos",Fact
5cf476cd896a7fea0600be3f,B,5.0,"[[1754, 1862]]",a venda de dados privados é um negócio multimilionário desenvolvido por empresas designadas de “data broker”,Fact
5cf45bb2896a7fea06ff2abd,B,0.0,"[[0, 39]]",Comemoram-se este ano os 40 anos do SNS,Fact
5cf465fc896a7fea06ffd65d,B,9.0,"[[3074, 3231]]","a redução da desigualdade regional interna não se deveu a um melhor desempenho económico das regiões menos desenvolvidas, mas antes ao pior desempenho da AML",Fact
5d04be1c896a7fea06a07c4b,A,18.0,"[[2100, 2151]]",De 2012 para cá realizámos três etapas da Fórmula 1,Fact
5cf46c00896a7fea06002671,D,32.0,"[[4235, 4360]]",O valor acrescentado europeu garante-se com a pluralidade e a abertura aos melhores parceiros para conseguir a melhor solução,Fact
5cf46fb5896a7fea06006266,D,32.0,"[[6647, 6711]]",sujeitos a excessivas oscilações dependentes de baixas políticas,Fact
5cf45bc3896a7fea06ff2b2d,D,23.0,"[[3022, 3227]]","As ordens profissionais são entidades de direito público, de inscrição obrigatória, com poderes públicos, acumulando as funções reguladoras com funções de representação e defesa de interesses profissionais",Fact
5cf46f04896a7fea06005d72,A,1.0,"[[265, 334]]",não ter dado respostas públicas e claras aos mais de 5000 signatários,Fact
5cf4609b896a7fea06ff7248,A,8.0,"[[2778, 2877]]","a maior ponte na Europa que é a Ponte da Crimeia, cujo componente rodoviário foi inaugurado em 2018",Fact
5cf47b6b896a7fea0600f57c,D,13.0,"[[2653, 2854]]","(In)felizmente, essas relações acabam, mais cedo ou mais tarde, por serem descortinaras na imprensa e redes sociais, com enorme prejuízo para a imagem de rigor e imparcialidade da arbitragem portuguesa",Fact
5cf468d7896a7fea06fffd56,D,32.0,"[[4686, 4748]]",muito mais evidente na atualidade por força das circunstâncias,Fact
5cf47ac5896a7fea0600f1cc,C,26.0,"[[4478, 4491]]",seu historial,Fact
5cf4615b896a7fea06ff8930,D,1.0,"[[432, 531]]",algumas das colónias sul-americanas ainda não tinham acedido à independência ou acabavam de o fazer,Fact
5cf45c33896a7fea06ff3e67,A,1.0,"[[424, 464]]",são instituições ativas há cinco séculos,Fact
5d04c473896a7fea06a0f809,D,1.0,"[[2456, 2535]]","garanta a simpatia e, já agora, o voto dos portugueses que vivem nessas regiões",Fact
5cef7f74896a7fea06d223f7,D,1.0,"[[949, 976]]",sem quaisquer consequências,Fact
5cf46528896a7fea06ffbf18,D,2.0,"[[956, 998]]",estas tinham essencialmente chegado a zero,Fact
5d04c4aa896a7fea06a0f962,B,16.0,"[[1641, 1724]]",os Planos Regionais de Ordenamento Florestal nunca implementados e agora em revisão,Fact
5cdf5913896a7fea063f2d16,D,9.0,"[[3431, 3488]]",Todos os estudos e indicadores sustentam essa necessidade,Fact
5d04c4aa896a7fea06a0f962,D,16.0,"[[472, 592]]",a transferência do combate para os bombeiros em 1980/81 (perdendo-se o conhecimento de como combater o fogo na floresta),Fact
5cf46427896a7fea06ffb6fa,A,16.0,"[[3945, 4068]]","os conflitos armados a concentrarem-se numa zona que se estende da Nigéria ao Paquistão, com menos de um sexto da população",Fact
5d04c421896a7fea06a0f5fc,B,9.0,"[[3114, 3134]]",As visitas dos Papas,Fact
5cec9624896a7fea06b616df,A,33.0,"[[3398, 3578]]","enorme foco na criação de diferenciação no mercado e no empenho colocado no acompanhamento dos produtores, garantindo que se sentem envolvidos e valorizados na venda da sua amêndoa",Fact
5cec25a4896a7fea06b1bb32,A,19.0,"[[2540, 2572]]",podem ter ainda variações finais,Fact
5cf45ea1896a7fea06ff6237,B,6.0,"[[3432, 3492]]",o anúncio do PCP de que votará contra o conjunto das medidas,Fact
5cf462dc896a7fea06ff9485,D,5.0,"[[3457, 3524]]",constitui o mais importante desafio estratégico das últimas décadas,Fact
5cf45e44896a7fea06ff4f3f,A,10.0,"[[5931, 5991]]",os referidos prisioneiros foram libertados em Lisboa em 1526,Fact
5cf465e2896a7fea06ffd558,B,40.0,"[[3833, 3885]]",a esperança média de vida das pessoas está a crescer,Fact
5d04c4aa896a7fea06a0f962,B,12.0,"[[1155, 1329]]","Diversa legislação e regulamentação e instrumentos de planeamento foram sendo introduzidos, com responsabilidades e competências dispersas por vários ministérios e organismos",Fact
5cf47ac5896a7fea0600f1cc,D,11.0,"[[2526, 2619]]","têm subordinação hierárquica e horário completo, o que aliás é explicitado nos seus contratos",Fact
5cf4615e896a7fea06ff894d,D,6.0,"[[1474, 1595]]",A consequência da obtenção de avaliação positiva em vários anos ou ciclos avaliativos é sempre a progressão remuneratória,Fact
5cf4602f896a7fea06ff6f27,B,21.0,"[[2030, 2074]]",taxas de juro a níveis historicamente baixos,Fact
5cf46427896a7fea06ffb6fa,A,7.0,"[[3833, 3875]]",A segurança nunca foi tão grande como hoje,Fact
5cf45adb896a7fea06ff24e3,D,32.0,"[[2086, 2154]]","com a globalização, a circulação de capitais é mais rápida e intensa",Fact
5d04c590896a7fea06a0fc78,A,4.0,"[[642, 676]]",Alguns defesas centrais lesionados,Fact
5d04c484896a7fea06a0f874,D,9.0,"[[3946, 4002]]",ainda sem carreira profissional bem definida em Portugal,Fact
5cf4615e896a7fea06ff894d,C,10.0,"[[1474, 1595]]",A consequência da obtenção de avaliação positiva em vários anos ou ciclos avaliativos é sempre a progressão remuneratória,Fact
5cf467fe896a7fea06fff5b9,B,3.0,"[[1499, 1578]]",Portugal detém a maior área relativa de plantações de eucalipto a nível mundial,Fact
5cf46052896a7fea06ff703f,D,18.0,"[[2751, 2821]]",sem os constrangimentos da ultraperiferia ou até da dupla insularidade,Fact
5ce41275896a7fea0667e8ba,D,14.0,"[[1638, 1653]]",não instantâneo,Fact
5cf46047896a7fea06ff6fe8,A,9.0,"[[1226, 1259]]",recuperação do crédito ao consumo,Fact
5cf45ac7896a7fea06ff244d,A,16.0,"[[2261, 2399]]",as que defendem que as primeiras passadas de um homem na lua foram obra de estúdios cinematográficos ao serviço do governo norte-americano,Fact
5cf46047896a7fea06ff6fe8,A,8.0,"[[1261, 1354]]",os valores estão muito abaixo dos valores que se registaram no pico antes da crise financeira,Fact
5cf4699b896a7fea06000352,B,8.0,"[[1455, 1666]]","O último Relatório de Actividades e Contas publicado, relativo ao ano de 2015, evidencia a fraca adesão dos trabalhadores aos PPR do Estado: 7618 aderentes e um capital sob gestão de cerca de 37 milhões de euros",Fact
5d04be1c896a7fea06a07c4b,D,10.0,"[[1669, 1726]]","Em média, 170 mil portugueses visitam o Brasil a cada ano",Fact
5cf45e22896a7fea06ff4e2a,B,2.0,"[[456, 525]]",continuamos a ter um conhecimento incompleto de muitas leis da Física,Fact
5cf4616d896a7fea06ff89c8,B,21.0,"[[2610, 2699]]","as comissões poderem constituir a figura do relator coletivo, composto por três deputados",Fact
5cf4705c896a7fea06006583,D,13.0,"[[2319, 2446]]","Milhares de jornalistas internacionais em Lisboa durante várias semanas, produzindo notícias e conteúdos digitais a toda a hora",Fact
5ceb7ce4896a7fea06ab7126,D,13.0,"[[2507, 2636]]",mesmo sendo um direito nosso verificar se estas empresas estão a pagar os seus impostos onde efetivamente exercem a sua atividade,Fact
5cf45bc3896a7fea06ff2b2d,D,2.0,"[[647, 666]]",grupos de profissão,Fact
5cf46052896a7fea06ff703f,A,14.0,"[[3575, 3682]]",plasmar o conceito de Regiões Ultraperiféricas no artigo 349° do Tratado de Funcionamento da União Europeia,Fact
5d04be5c896a7fea06a07cba,B,0.0,"[[988, 1099]]","não se pode legislar por resoluções, sejam do Governo, da Assembleia da República ou do Presidente da República",Fact
5cf46528896a7fea06ffbf18,C,13.0,"[[3049, 3091]]",o QE do BCE já excedeu o da Fed em tamanho,Fact
5cf465e1896a7fea06ffd54f,A,3.0,"[[1521, 1647]]","substituição da discussão de propostas políticas pela proliferação de fake news e de proclamações, muitas vezes contraditórias",Fact
5cf47ac5896a7fea0600f1cc,D,12.0,"[[2634, 2699]]",desempenharem funções que correspondem a necessidades permanentes,Fact
5d04be7b896a7fea06a07cf1,D,14.0,"[[5209, 5309]]","A Cresap, com todos os defeitos que ainda tem, foi uma grande conquista para a democracia portuguesa",Fact
5cf45adb896a7fea06ff24e3,D,11.0,"[[892, 1099]]","hoje temos no mundo uma luta ideológica entre o capitalismo democrático das sociedades ocidentais e o capitalismo de Estado autoritário da China e da Rússia, sendo que o mal-estar é mais profundo no Ocidente",Fact
5cf46b82896a7fea060022c1,A,0.0,"[[1902, 2066]]","os direitos humanos, pela primeira vez instituídos na revolução americana de 1776 e na revolução francesa de 1789, deixaram de ser uma questão simplesmente nacional",Fact
5d04be5c896a7fea06a07cba,B,13.0,"[[2309, 2422]]","ao tomar posse, foi, como condição sine qua non dela, isso mesmo que jurou fazer enquanto Presidente da República",Fact
5cf46546896a7fea06ffc011,D,9.0,"[[1737, 1946]]","de acordo com os termos do decreto vetado, só os professores que com progressão assegurada para o 5.º escalão (que é uma das transições sujeita a quotas) no dia 1 de Janeiro poderiam beneficiar de alguma coisa",Fact
5cf47875896a7fea0600d5fc,D,19.0,"[[1520, 1597]]","Alegadamente, a estrela lusa deve 14,7 milhões de euros a “nuestros hermanos”",Fact
5cf46a10896a7fea060015c0,D,8.0,"[[1946, 2099]]",Este pilar (um sistema privado coletivo) assenta num esquema ocupacional relacionado com a empresa ou setor de atividade onde o trabalhador está inserido,Fact
5ce393e4896a7fea066355bd,D,18.0,"[[2328, 2353]]",profundos cortes de verba,Fact
5d04c421896a7fea06a0f5fc,A,2.0,"[[837, 879]]",a curva de crescimento foi revista em alta,Fact
5cf46196896a7fea06ff8b01,D,9.0,"[[2366, 2433]]","transportar os passageiros até ao centro da cidade, sem transbordos",Fact
5cf45cd3896a7fea06ff4418,B,16.0,"[[2576, 2619]]","por 73,9% dos eleitores na Catalunha (2006)",Fact
5cf46530896a7fea06ffbf65,D,9.0,"[[3627, 3721]]",do combate ao terrorismo ao imperativo do desenvolvimento sustentável para erradicar a pobreza,Fact
5cf469bf896a7fea06000481,D,11.0,"[[1717, 1770]]",promovemos a pesca artesanal e as praias maravilhosas,Fact
5cf46162896a7fea06ff8973,A,12.0,"[[1203, 1265]]",No concurso de 2018 só no mês passado fecharam as candidaturas,Fact
5cf46a10896a7fea060015c0,A,1.0,"[[867, 910]]",o Estado ser o principal agente responsável,Fact
5cf463f6896a7fea06ffb5b9,A,22.0,"[[2550, 2658]]",4. a discriminação positiva das candidaturas que comprovassem parcerias com a administração local é revogada,Fact
5cf46311896a7fea06ffab76,A,7.0,"[[3366, 3502]]","Em pleno Estado Novo, criar uma fundação privada e independente nem seria exequível se não tivesse, à partida, a concordância de Salazar",Fact
5cf4705c896a7fea06006583,B,7.0,"[[2613, 2786]]","pela primeira vez, um operador europeu teve o direito a transmitir a Eurovisão nos seus canais internacionais para o mundo inteiro, através da RTP Internacional e RTP África",Fact
5cf47924896a7fea0600da24,D,44.0,"[[4812, 4837]]",não ter vingado em Durban,Fact
5cf469e5896a7fea06000599,A,1.0,"[[0, 46]]",A Fundação de Serralves é uma fundação privada,Fact
5cf46919896a7fea06ffff72,B,4.0,"[[1315, 1415]]",nos confrontamos todos os anos com dezenas e dezenas de alterações mais miudinhas nas regras fiscais,Fact
5cf465dd896a7fea06ffd52d,D,7.0,"[[1378, 1583]]","a lei das sociedades desportivas determina que a participação do clube fundador, nas sociedades constituídas pela personalização jurídica de equipa desportiva, não pode ser inferior a 10% do capital social",Fact
5cf47246896a7fea060086ea,D,1.0,"[[1601, 1675]]",para além do sistema sono/vigília temos um sistema circadiano bem complexo,Fact
5d04c484896a7fea06a0f874,D,1.0,"[[447, 582]]","Segundo as Nações Unidas, a OMS, e agora também para a Direção-Geral da Saúde em Portugal, é uma verdadeira prioridade de saúde pública",Fact
5cf47280896a7fea060087f2,D,14.0,"[[1692, 1737]]",Um outro fator crucial é a idade dos veículos,Fact
5cf464b6896a7fea06ffbb9d,C,22.0,"[[11725, 11772]]",trabalho assalariado ou independente (Jobbying),Fact
5cf462dc896a7fea06ff9485,D,4.0,"[[3285, 3454]]",a actual crise nas relações entre o Ocidente/NATO e a Rússia são um momento definidor de um novo relacionamento entre todos os actores políticos do espaço euro-atlântico,Fact
5d04c420896a7fea06a0f5f5,C,0.0,"[[88, 155]]",o Brasil mostrou-se ao mundo com estádios novos e alguns reformados,Fact
5cf45ae7896a7fea06ff2537,D,6.0,"[[2283, 2316]]",o equilíbrio familiar perturba-se,Fact
5d04c4e8896a7fea06a0fa61,C,29.0,"[[2302, 2388]]",conseguiu melhor do que os 119 países participantes que não obtiveram qualquer medalha,Fact
5cebdf54896a7fea06aefb25,D,23.0,"[[5656, 5790]]",está a desenvolver um conjunto de medidas de forma a mostrar em primeiro lugar conteúdos que sejam de órgãos de comunicação confiáveis,Fact
5cf462de896a7fea06ff9495,D,28.0,"[[4011, 4239]]","Maduro está cada vez mais isolado externamente e, internamente, com sinais visíveis de descontentamento nas fileiras militares entre as patentes médias e baixas e agora já também com deserções mais frequentes entre as mais altas",Fact
5cddb333896a7fea062e8b18,B,1.0,"[[207, 337]]",tem uma dimensão científica e uma dimensão política: pretende pôr em contato jovens Europeus de 16 anos entusiasmados pela ciência,Fact
5cf468d7896a7fea06fffd56,D,35.0,"[[5954, 6002]]",o adiamento da descoberta dos centros históricos,Fact
5cf461b7896a7fea06ff8bc8,A,4.0,"[[589, 759]]","a chamada lei Arnaut, votada apenas pelo PS, PCP, UDP, José Justiniano Pinto (independente), que o seu partido votou contra, esteve em vigor durante 11 anos (1979 a 1990)",Fact
5cf45ea1896a7fea06ff6237,D,25.0,"[[3561, 3636]]",perante a oposição do BE e PCP e reservas do PSD em regulamentar o lobbying,Fact
5cf465dd896a7fea06ffd52d,C,1.0,"[[478, 563]]","uma sociedade desportiva não precisa, para existir enquanto tal, de um clube fundador",Fact
5cf47bad896a7fea0600f696,C,14.0,"[[3200, 3310]]",Outras cidades regulamentaram a actividade das plataformas online e têm aplicado coimas pelo seu incumprimento,Fact
5cf46046896a7fea06ff6fe1,D,16.0,"[[3010, 3253]]","pouco ou nada de “responsável” se encontra nas propostas do Bloco, nas quais constam a “reestruturação da dívida e o controlo público dos sectores estratégicos da economia”, que, acrescentam, “permanecem a chave para uma governação à esquerda”",Fact
5cf45f88896a7fea06ff6a13,A,8.0,"[[4206, 4279]]","há já uma assembleia geral no dia 28 de março, onde todos os votos contam",Fact
5cf45f25896a7fea06ff6744,B,10.0,"[[1977, 2153]]","No relatório “Trabalho Digno em Portugal 2008-2018”, a OIT alerta para o facto de os efeitos distributivos das reformas laborais adoptadas desde 2011 merecerem atenção renovada",Fact
